release_date,vendor,source_file,region,date,export_price_index_end_use_of_semiconductors_,import_price_index_in_$_end_use_of_semiconductors_,export_price_index_end_use_excluding_without_semiconductors_,"import_price_index_end_use_:_capital_goods,_excluding_computers,_peripherals,_and_semiconductors","export_price_index_end_use_:_capital_goods,_excluding_computers,_peripherals,_and_semiconductors",impact_value,year
,,semiconductorshortage,Unknown,2020-01-01,60,57.9,43.8,114.1,,,2020.0
,,semiconductorshortage,Unknown,2020-01-02,60,58,44.1,114.2,,,2020.0
,,semiconductorshortage,Unknown,2020-01-03,60,57.8,44.8,114.3,,,2020.0
,,semiconductorshortage,Unknown,2020-01-04,60.6,58,44.5,114.4,,,2020.0
,,semiconductorshortage,Unknown,2020-01-05,60.4,57.7,44.5,114.3,,,2020.0
,,semiconductorshortage,Unknown,2020-01-06,61.2,57.3,44.2,114.4,,,2020.0
,,semiconductorshortage,Unknown,2020-01-07,61.2,56.4,44.3,114.7,,,2020.0
,,semiconductorshortage,Unknown,2020-01-08,61.2,56.1,44.1,114.9,,,2020.0
,,semiconductorshortage,Unknown,2020-01-09,61.1,56,43.5,115.2,,,2020.0
,,semiconductorshortage,Unknown,2020-01-10,61.1,55.7,43,115.4,,,2020.0
,,semiconductorshortage,Unknown,2020-01-11,61.1,55.7,42.7,115.5,,,2020.0
,,semiconductorshortage,Unknown,2020-01-12,61.1,55.9,42.4,115.7,,,2020.0
,,semiconductorshortage,Unknown,2021-01-01,61.1,56.2,42.8,116,,,2021.0
,,semiconductorshortage,Unknown,2021-01-02,61.1,56.4,42.8,116.1,,,2021.0
,,semiconductorshortage,Unknown,2021-01-03,61.1,56.7,43.1,116.2,,,2021.0
,,semiconductorshortage,Unknown,2021-01-04,61,57.1,43.6,116.4,,,2021.0
,,semiconductorshortage,Unknown,2021-01-05,61,57.1,43.8,116.5,,,2021.0
,,semiconductorshortage,Unknown,2021-01-06,61.1,57.1,44.8,116.8,,,2021.0
,,semiconductorshortage,Unknown,2021-01-07,61,57.3,44.8,117.1,,,2021.0
,,semiconductorshortage,Unknown,2021-01-08,61,57.4,44.8,117.2,,,2021.0
,,semiconductorshortage,Unknown,2021-01-09,61.4,57.5,45.1,117.2,,,2021.0
,,semiconductorshortage,Unknown,2021-01-10,61.1,57.2,44.9,117.4,,,2021.0
,,semiconductorshortage,Unknown,2021-01-11,,,,,,,2021.0
